YR,M,D,HR,MIN,DM,RRP
2000,1,11,3,30,4139.51833,14.53
2000,1,11,4,0,4101.00833,16.92
2000,1,11,4,30,4131.87833,14.07
2000,1,11,5,0,4228.55667,19.56
2000,1,11,5,30,4429.425,24.31
2000,1,11,6,0,4628.54333,28.34
2000,1,11,6,30,4915.37833,28.91
2000,1,11,7,0,5265.67333,41.36
2000,1,11,7,30,5218.66333,32.56
2000,1,11,8,0,5392.815,39
2000,1,11,8,30,5550.16333,45.38
2000,1,11,9,0,5636.06,48.52
2000,1,11,9,30,5754.555,46.28
2000,1,11,10,0,5842.925,41.81
2000,1,11,10,30,5949.725,50.03
2000,1,11,11,0,5996.73667,53.24
2000,1,11,11,30,6078.02167,56.74
2000,1,11,12,0,6052.36333,54.94
2000,1,11,12,30,6119.85667,55.23
2000,1,11,13,0,6170.22167,57.63
2000,1,11,13,30,6230.08667,61.71
2000,1,11,14,0,6280.56833,63.6
2000,1,11,14,30,6293.86333,62.64
2000,1,11,15,0,6345.05833,62.68
2000,1,11,15,30,6351.76833,62.24
2000,1,11,16,0,6449.99333,63.05
2000,1,11,16,30,6424.87167,59.38
2000,1,11,17,0,6319.32167,59.38
2000,1,11,17,30,6105.09333,48.98
2000,1,11,18,0,5861.76667,34.83
2000,1,11,18,30,5623.23,29.39
2000,1,11,19,0,5483.49167,28.2
2000,1,11,19,30,5328.69667,29.98
2000,1,11,20,0,5192.63167,30.74
2000,1,11,20,30,5242.57167,32.31
2000,1,11,21,0,5144.74167,29.88
2000,1,11,21,30,4966.435,32.62
2000,1,11,22,0,4779.02333,30.65
2000,1,11,22,30,4669.825,35.33
2000,1,11,23,0,4609.02667,33.69
2000,1,11,23,30,4987.95667,49.05
2000,1,12,0,0,4930.02333,38.95
2000,1,12,0,30,4741.58333,26.54
2000,1,12,1,0,4602.705,23.65
2000,1,12,1,30,4863.47333,32.71
2000,1,12,2,0,4750.89333,22.79
2000,1,12,2,30,4478.385,18.73
2000,1,12,3,0,4288.68,17.13
2000,1,12,3,30,4178.84833,14.38
2000,1,12,4,0,4163.07333,14.36
2000,1,12,4,30,4167.64667,16.97
2000,1,12,5,0,4240.65667,19.5
2000,1,12,5,30,4481.645,29.18
2000,1,12,6,0,4664.76833,28.71
2000,1,12,6,30,4951.98833,31.93
2000,1,12,7,0,5272.28833,40.87
2000,1,12,7,30,5271.59333,33.27
2000,1,12,8,0,5395.81833,34.98
2000,1,12,8,30,5530.815,39.4
2000,1,12,9,0,5649.12,44.49
2000,1,12,9,30,5688.90833,46.91
2000,1,12,10,0,5752.805,40.6
2000,1,12,10,30,5829.125,46.7
2000,1,12,11,0,5922.09833,49.03
2000,1,12,11,30,5974.77,49.35
2000,1,12,12,0,6021.66833,50.1
2000,1,12,12,30,6126.495,50.91
2000,1,12,13,0,6165.52,51.83
2000,1,12,13,30,6221.29333,52.08
2000,1,12,14,0,6285.87167,53.99
2000,1,12,14,30,6333.315,58.38
2000,1,12,15,0,6378.68667,58.78
2000,1,12,15,30,6432.61167,62.01
2000,1,12,16,0,6493.70167,63.05
2000,1,12,16,30,6508.215,59.38
2000,1,12,17,0,6458.41333,58.34
2000,1,12,17,30,6235.75667,49.07
2000,1,12,18,0,6041.00667,39.73
2000,1,12,18,30,5818.73167,33.44
2000,1,12,19,0,5718.76167,33.15
2000,1,12,19,30,5567.355,35.99
2000,1,12,20,0,5515.33333,43.37
2000,1,12,20,30,5497.39333,43.71
2000,1,12,21,0,5411.515,37.25
2000,1,12,21,30,5241.72833,44.86
2000,1,12,22,0,5023.86333,35.9
2000,1,12,22,30,4853.53833,29.81
2000,1,12,23,0,4762.355,28.79
2000,1,12,23,30,5148.335,38.05
2000,1,13,0,0,5085.22833,33
2000,1,13,0,30,4852.47333,19.87
2000,1,13,1,0,4689.04,23.25
2000,1,13,1,30,4952.745,29.34
2000,1,13,2,0,4791.29833,25.6
2000,1,13,2,30,4554.30667,20.18
2000,1,13,3,0,4380.285,20.78
2000,1,13,3,30,4241.91167,20.36
2000,1,13,4,0,4231.69,19.35
2000,1,13,4,30,4249.15,22.36
2000,1,13,5,0,4360.72167,25.93
2000,1,13,5,30,4538.53,31.38
2000,1,13,6,0,4755.75167,39.64
2000,1,13,6,30,5082.59833,42.74
2000,1,13,7,0,5380.815,38.36
2000,1,13,7,30,5379.40833,33.77
2000,1,13,8,0,5508.03167,36.94
2000,1,13,8,30,5684.20167,45.68
2000,1,13,9,0,5758.81667,53.03
2000,1,13,9,30,5875.20833,57.03
2000,1,13,10,0,5953.02333,51.67
2000,1,13,10,30,6009.01,62.81
2000,1,13,11,0,6078.84333,60.58
2000,1,13,11,30,6256.47667,63.49
2000,1,13,12,0,6287.2,63.49
2000,1,13,12,30,6345.14,63.91
2000,1,13,13,0,6420.43333,63.91
2000,1,13,13,30,6531.57,63.6
