"city","USAFID","rank","YR","M","D","HR","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT"
"Las Vegas",724846,2,2009,1,7,6,36.212,-115.19,672,999,0,3.3,-5
"Las Vegas",724846,2,2009,1,7,7,36.212,-115.19,672,549.5,500.7,2.8,-5
"Las Vegas",724846,2,2009,1,7,8,36.212,-115.19,672,300,2.1,2.2,-4.4
"Las Vegas",724846,2,2009,1,7,9,36.212,-115.19,672,300,2.6,1.7,-4.4
"Las Vegas",724846,2,2009,1,7,10,36.212,-115.19,672,330,1.5,0.6,-5
"Las Vegas",724846,2,2009,1,7,11,36.212,-115.19,672,999,0,1.1,-4.4
"Las Vegas",724846,2,2009,1,7,12,36.212,-115.19,672,999,0,1.1,-4.4
"Las Vegas",724846,2,2009,1,7,13,36.212,-115.19,672,360,2.1,0,-4.4
"Las Vegas",724846,2,2009,1,7,14,36.212,-115.19,672,999,0,0,-4.4
"Las Vegas",724846,2,2009,1,7,15,36.212,-115.19,672,300,3.6,1.1,-3.9
"Las Vegas",724846,2,2009,1,7,16,36.212,-115.19,672,999,0,4.4,-3.3
"Las Vegas",724846,2,2009,1,7,17,36.212,-115.19,672,150,1.5,6.7,-5
"Las Vegas",724846,2,2009,1,7,18,36.212,-115.19,672,150,2.1,7.8,-5.6
"Las Vegas",724846,2,2009,1,7,19,36.212,-115.19,672,999,1.5,9.4,-5.6
"Las Vegas",724846,2,2009,1,7,20,36.212,-115.19,672,999,0,10.6,-5.6
"Las Vegas",724846,2,2009,1,7,21,36.212,-115.19,672,999,0,11.7,-4.4
"Las Vegas",724846,2,2009,1,7,22,36.212,-115.19,672,999,0,12.8,-3.9
"Las Vegas",724846,2,2009,1,7,23,36.212,-115.19,672,999,0,12.8,-3.3
"Las Vegas",724846,2,2009,1,8,0,36.212,-115.19,672,999,0,11.7,-3.3
"Las Vegas",724846,2,2009,1,8,1,36.212,-115.19,672,999,0,10,-2.8
"Las Vegas",724846,2,2009,1,8,2,36.212,-115.19,672,999,0,7.8,-2.2
"Las Vegas",724846,2,2009,1,8,3,36.212,-115.19,672,999,0,7.8,-1.7
"Las Vegas",724846,2,2009,1,8,4,36.212,-115.19,672,10,1.5,6.1,-1.7
"Las Vegas",724846,2,2009,1,8,5,36.212,-115.19,672,290,2.6,5.6,-1.1
"Las Vegas",724846,2,2009,1,8,6,36.212,-115.19,672,290,2.1,5,-1.1
"Las Vegas",724846,2,2009,1,8,7,36.212,-115.19,672,999,499.95,5,-1.1
"Las Vegas",724846,2,2009,1,8,8,36.212,-115.19,672,320,2.1,2.8,-1.7
"Las Vegas",724846,2,2009,1,8,9,36.212,-115.19,672,290,3.1,3.9,-1.7
