YR,M,D,HR,LAT,LONG,ELEV,WIND.DIR,WIND.SPD,TEMP,DEW.POINT,city
2010,1,10,6,5.6,-0.167,69,270,2.6,26.2,24.6,Accra
2010,1,10,7,5.6,-0.167,69,280,5.1,26,25,Accra
2010,1,10,8,5.6,-0.167,69,270,3.6,27,25,Accra
2010,1,10,9,5.6,-0.167,69,260,5.1,28.5,24.7,Accra
2010,1,10,10,5.6,-0.167,69,270,3.1,30,25,Accra
2010,1,10,11,5.6,-0.167,69,220,4.1,31,24,Accra
2010,1,10,12,5.6,-0.167,69,210,6.7,31.5,24.2,Accra
2010,1,10,13,5.6,-0.167,69,190,7.2,31,24,Accra
2010,1,10,14,5.6,-0.167,69,200,7.2,31,24,Accra
2010,1,10,15,5.6,-0.167,69,190,6.2,31.2,23.5,Accra
2010,1,10,16,5.6,-0.167,69,190,7.2,30,24,Accra
2010,1,10,18,5.6,-0.167,69,190,5.1,29,25,Accra
2010,1,10,19,5.6,-0.167,69,200,3.1,28,25,Accra
2010,1,10,20,5.6,-0.167,69,240,4.1,28,25,Accra
2010,1,10,21,5.6,-0.167,69,240,2.6,28,24.9,Accra
2010,1,10,22,5.6,-0.167,69,270,1,27,25,Accra
2010,1,10,23,5.6,-0.167,69,999,0,27,25,Accra
2010,1,11,0,5.6,-0.167,69,250,2.6,27,25,Accra
2010,1,11,1,5.6,-0.167,69,300,3.6,27,24,Accra
2010,1,11,3,5.6,-0.167,69,290,1.5,26.4,24.3,Accra
2010,1,11,4,5.6,-0.167,69,290,2.6,26,24,Accra
2010,1,11,5,5.6,-0.167,69,270,2.6,26,24,Accra
2010,1,11,6,5.6,-0.167,69,290,1,25.5,23.8,Accra
2010,1,11,7,5.6,-0.167,69,260,1,26,24,Accra
2010,1,11,8,5.6,-0.167,69,270,4.1,27,24,Accra
2010,1,11,9,5.6,-0.167,69,270,5.1,27.5,23.7,Accra
2010,1,11,10,5.6,-0.167,69,240,5.1,30,24,Accra
2010,1,11,11,5.6,-0.167,69,220,5.1,32,23,Accra
2010,1,11,12,5.6,-0.167,69,230,5.1,32.3,22.7,Accra
2010,1,11,13,5.6,-0.167,69,270,5.1,33,22,Accra
2010,1,11,14,5.6,-0.167,69,210,6.2,33,23,Accra
2010,1,11,15,5.6,-0.167,69,200,7.7,33,22,Accra
2010,1,11,16,5.6,-0.167,69,220,6.7,33,22,Accra
2010,1,11,17,5.6,-0.167,69,220,7.2,31,22,Accra
2010,1,11,18,5.6,-0.167,69,210,5.1,30,24,Accra
2010,1,11,19,5.6,-0.167,69,240,5.1,29,24,Accra
2010,1,11,20,5.6,-0.167,69,230,5.1,29,25,Accra
2010,1,11,21,5.6,-0.167,69,230,4.1,29,25,Accra
2010,1,11,22,5.6,-0.167,69,250,5.1,28,25,Accra
2010,1,11,23,5.6,-0.167,69,230,5.1,28,26,Accra
2010,1,12,0,5.6,-0.167,69,240,2.6,28,26,Accra
2010,1,12,1,5.6,-0.167,69,240,4.1,28,25,Accra
2010,1,12,2,5.6,-0.167,69,260,5.1,28,25,Accra
2010,1,12,3,5.6,-0.167,69,270,3.1,27,25,Accra
2010,1,12,4,5.6,-0.167,69,270,4.1,27,24,Accra
2010,1,12,5,5.6,-0.167,69,270,4.1,26,24,Accra
2010,1,12,6,5.6,-0.167,69,270,3.6,26,24,Accra
2010,1,12,7,5.6,-0.167,69,260,5.1,26,24,Accra
2010,1,12,8,5.6,-0.167,69,270,5.1,26,24,Accra
2010,1,12,9,5.6,-0.167,69,270,5.1,29,23,Accra
